artist_name;track_name;release_date;genre;sadness;danceability;acousticness;topic;energy;track_id
selena gomez & the scene;love you like a love song;2011;pop;0.0157561748618603;0.8624499079389149;0.0764046951854369;music;0.6786686431047695;t94
ed sheeran;give me love;2011;pop;0.0008097166531369;0.5028701397162353;0.6967868441634983;romantic;0.3283073505398766;t95
young the giant;cough syrup;2011;pop;0.1322457509255403;0.5115347124444927;0.0344367815630336;world/life;0.7217130304770278;t96
ed sheeran;kiss me;2011;pop;0.2582232485069962;0.5711036499512618;0.6425699222589581;romantic;0.2272030918282933;t97
falling in reverse;i'm not a vampire;2011;pop;0.2005674636011296;0.1876963067258745;0.0089046274142845;violence;0.9659649030079815;t98
panic! at the disco;memories;2011;pop;0.5930446515428904;0.4627964908480451;0.0004738960581285;sadness;0.9589576771566838;t99
a$ap rocky;peso;2011;pop;0.0008223684619723;0.5039532113072674;0.1676698470580793;obscene;0.8318265795688513;t100
the ready set;killer;2011;pop;0.4929231974040559;0.630672587458031;0.1536136080457912;sadness;0.8408358699490914;t101
mac miller;party on fifth ave.;2011;pop;0.0008488964686454;0.5765190079064226;0.0637540800743775;obscene;0.8238183214530823;t102
rise against;satellite;2011;pop;0.0004278990516784;0.352323188562764;0.0037038189797379;world/life;0.9409390963962035;t103
rihanna;birthday cake;2011;pop;0.0019493179342731;0.6934907397378968;0.3212844591209429;obscene;0.8268214182464957;t104
wiz khalifa;when i'm gone;2011;pop;0.0515122729418388;0.6924076681468645;0.4979914638468513;obscene;0.7607532887914016;t105
coldplay;princess of china;2011;pop;0.5378715235816891;0.3934799090219864;0.0038644617113069;sadness;0.690681030278423;t106
mac miller;another night;2011;pop;0.0005370569640269;0.5938481533629373;0.6104413759451567;obscene;0.5765633521287151;t107
the cab;temporary bliss;2011;pop;0.1710401554262216;0.4292212715260479;0.002448797639355;violence;0.917915354313368;t108
panic! at the disco;trade mistakes;2011;pop;0.3052285674193075;0.4389689158453375;0.0001686748681474;sadness;0.8037976761636598;t109
david guetta;she wolf (falling to pieces) (feat. sia);2011;pop;0.6860795166874398;0.4790425647135276;0.0827300027409666;sadness;0.8578534184451004;t110
lil wayne;megaman;2011;pop;0.0004422821980537;0.4790425647135276;0.0114447906072194;obscene;0.8568523861806293;t111
a day to remember;2nd sucks;2011;pop;0.040459235608208;0.4757933499404311;0.0001325302535444;obscene;0.9899896773552888;t112
panic! at the disco;let's kill tonight;2011;pop;0.0736556552677818;0.4259720567529514;0.0042961890523986;violence;0.8678637410898117;t113
drake;over my dead body;2011;pop;0.0405052866032452;0.4627964908480451;0.7620479538634076;obscene;0.5705571585418883;t114
ed sheeran;small bump;2011;pop;0.0006265664679961;0.8104624715693709;0.6917667588019668;romantic;0.4364188351027578;t115
adele;don't you remember;2011;pop;0.0909356429876346;0.6263403010939024;0.206826512878025;world/life;0.3953765122594418;t116
drake;practice;2011;pop;0.000343997266365;0.4162244124336619;0.5763047954867425;obscene;0.2392154790019467;t117
the drums;money;2011;pop;0.0032894738021856;0.5862666522257122;0.216866683601088;obscene;0.9189163865778388;t118
adele;one and only;2011;pop;0.2283860782732907;0.4357197010722409;0.2961840323132854;world/life;0.4674508353013627;t119
foster the people;i would do anything for you;2011;pop;0.3167310622322024;0.5797682226795191;0.0373484310727219;sadness;0.8488441280648604;t120
