artist_name;track_name;release_year;genre;sadness;danceability;acousticness;topic;track_id
mac miller;of the soul;2011;pop;0.0005159958940803;0.6057619408642911;0.6455819734758771;obscene;t0
snoop dogg;young, wild & free (feat. bruno mars);2011;pop;0.000449842611212;0.7075706704213148;0.0527098922790083;obscene;t1
lmfao;sorry for party rocking;2011;pop;0.0004244482287203;0.5830174374526157;0.0021375523469401;obscene;t2
victorious cast;make it shine (victorious theme);2011;pop;0.0006119951529022;0.4963717101700423;0.0001365463218336;world/life;t3
the decemberists;don't carry it all;2011;pop;0.0011198209104539;0.4682118488032059;0.0249990210833545;violence;t4
young the giant;apartment;2011;pop;0.4987853424069135;0.5505252897216506;0.0068865530989488;sadness;t5
a$ap rocky;purple swag;2011;pop;0.0010526315916407;0.5949312249539696;0.0458825761873254;obscene;t6
the drums;days;2011;pop;0.001196172406257;0.5678544351781653;0.3704812956639515;world/life;t7
tune-yards;powa;2011;pop;0.0372670044899105;0.7487273908805373;0.6797185539342913;violence;t8
sleeping at last;turning page;2011;pop;0.001644736994471;0.2624282465070941;0.9156625659262712;world/life;t9
benjamin francis leftwich;atlas hands;2011;pop;0.001012145796422;0.6241741579118381;0.8925701732632263;world/life;t10
blind pilot;three rounds and a sound;2011;pop;0.0006265664493961;0.6165926567746128;0.8875500879016948;violence;t11
falling in reverse;raised by wolves;2011;pop;0.3229523177525875;0.3317448283331528;0.0347379866847255;violence;t12
the head and the heart;winter song;2011;pop;0.0570079651060132;0.5180331419906856;0.8403612855032989;night/time;t13
yelawolf;let's roll;2011;pop;0.0004657662473583;0.6198418715477094;0.0003885546069825;obscene;t14
beach fossils;what a pleasure;2011;pop;0.1713566188622905;0.4996209249431388;0.0001757029876536;world/life;t15
lykke li;i follow rivers;2011;pop;0.0009233610517245;0.5819343658615834;0.476907105328419;violence;t16
big time rush;if i ruled the world;2011;pop;0.0004498425677022;0.6523340192786744;0.0166656793832122;obscene;t17
real estate;it's real;2011;pop;0.0023923446209387;0.3869814794757933;0.0093162744139301;feelings;t18
travis barker;let's go;2011;pop;0.0005370569736658;0.7108198851944114;0.1285131812381337;obscene;t19
bon iver;perth;2011;pop;0.0025062659656293;0.4400519874363695;0.8584335928048121;violence;t20
florence + the machine;seven devils;2011;pop;0.0216134493414043;0.3479909021986353;0.0111435854855275;violence;t21
lady gaga;marry the night;2011;pop;0.0005783690262484;0.598180439727066;0.0010431737381262;night/time;t22
childish gambino;you see me;2011;pop;0.0005370569552414;0.6609985920069318;0.0481918154536299;obscene;t23
forever the sickest kids;bipolar baby!;2011;pop;0.2204375064776307;0.572186721542294;0.0053905676612125;night/time;t24
flo rida;good feeling;2011;pop;0.0497590721263262;0.6978230261020254;0.0590351998345379;feelings;t25
demi lovato;fix a heart;2011;pop;0.3479364486438118;0.2938373226470269;0.564256590619067;sadness;t26
big sean;dance (a$$) remix;2011;pop;0.0005599104403879;0.785551824975631;0.0277098671785815;obscene;t27
beyoncé;i was here;2011;pop;0.0750010415329784;0.4855409942597206;0.4327303541469419;world/life;t28
lil wayne;nightmares of the bottom;2011;pop;0.0004385965179363;0.8104624715693709;0.0095672786820067;obscene;t29
rihanna;we found love;2011;pop;0.4591729723053659;0.7281490306509262;0.0250994227905851;sadness;t30
paramore;monster;2011;pop;0.0617650961623489;0.3804830499296003;2.781127290288444e-05;world/life;t31
j. cole;cole world;2011;pop;0.0003927730108705;0.6859092386006715;0.0013744993719873;obscene;t32
dom kennedy;when i come around;2011;pop;0.0004017677943161;0.8147947579334995;0.0257018330339689;obscene;t33
drake;buried alive interlude;2011;pop;0.0476328515625414;0.7032383840571862;0.4136540297731223;obscene;t34
childish gambino;sunrise;2011;pop;0.0006578947739017;0.5245315715368787;0.0110431837782969;obscene;t35
craft spells;after the moment;2011;pop;0.0007518797373471;0.5927650817719051;0.0264046449845833;romantic;t36
avril lavigne;wish you were here;2011;pop;0.1426763159488406;0.4248889851619192;0.0324287474184211;obscene;t37
mike posner;bow chicka wow wow;2011;pop;0.0670594733874853;0.611177298819452;0.3192764249763303;obscene;t38
bon iver;towers;2011;pop;0.0018148821735509;0.3122495396945738;0.9487951293123787;violence;t39
death cab for cutie;you are a tourist;2011;pop;0.2389734278787856;0.5494422181306184;0.0002540163192934;world/life;t40
simon curtis;pit of vipers;2011;pop;0.4129591123223486;0.7248998158778296;0.2831318103733036;sadness;t41
christina perri;the lonely;2011;pop;0.50358992983462;0.1898624499079389;0.5753007784144362;sadness;t42
kelly clarkson;dark side;2011;pop;0.6873201423862471;0.5386115022202967;0.0994970878484817;sadness;t43
go radio;rolling in the deep;2011;pop;0.4371650193560136;0.5266977147189429;0.0027098420781546;sadness;t44
bon iver;calgary;2011;pop;0.0012239903218572;0.4833748510776563;0.9267067537216404;violence;t45
breathe carolina;blackout;2011;pop;0.0006835270486889;0.6501678760966101;0.0053905676612125;obscene;t46
jai paul;btstu (edit);2011;pop;0.0221445767214376;0.6534170908697066;0.7479917148511194;night/time;t47
mac miller;frick park market;2011;pop;0.0004873294764861;0.5754359363153905;0.0225893801098193;obscene;t48
wiz khalifa;hopes & dreams;2011;pop;0.0511872831646719;0.6220080147297737;0.1375493348888904;obscene;t49
ben howard;the wolves;2011;pop;0.2278814672793526;0.4562980613018521;0.2730916396502406;violence;t50
kendrick lamar;hol' up;2011;pop;0.0005425936170718;0.5905989385898408;0.784136329454146;obscene;t51
lil wayne;how to hate;2011;pop;0.0003331112944421;0.3685692624282465;0.2228907860349257;obscene;t52
